Number,Name,Designation,Category,Components,Absolute Magnitute,Quality Code for Best Images,NASA Link
,,1994 CJ1,PHA,2.0,21.54,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1994%20CJ1
,,1994 NK,NEA,1.0,20.08,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1994%20NK
,,1997 WQ23,PHA,1.0,20.8,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1997%20WQ23
,,1998 SD9,NEA,1.0,24.09,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1998%20SD9
,,1999 FN19,NEA,1.0,22.5,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1999%20FN19
,,1999 TN13,NEA,1.0,23.6,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1999%20TN13
,,1999 TY2,NEA,1.0,23.3,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1999%20TY2
,,2000 AG6,NEA,1.0,25.3,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000%20AG6
,,2000 KA,PHA,1.0,21.75,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000%20KA
,,2000 LF3,PHA,1.0,21.6,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000%20LF3
,,2000 UK11,NEA,1.0,25.3,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000%20UK11
,,2000 YA,NEA,1.0,23.88,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2000%20YA
,,2001 AV43,NEA,1.0,24.6,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20AV43
,,2001 BB16,NEA,1.0,23.2,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20BB16
,,2001 BF10,NEA,1.0,22.6,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001%20BF10
